221,8,10,113.00
222,9,12,111.00
224,13,23,53.00
225,14,25,98.00
226,23,27,99.00
227,26,29,65.00
228,28,31,66.00
229,29,32,95.00
230,31,34,109.00
231,33,36,22.00
233,66,40,7.00
235,40,42,32.00
236,41,43,63.00
237,163,44,55.00
238,43,45,83.00
239,44,46,62.10
240,44,46,62.20
243,46,47,60.10
244,46,47,60.20
247,47,48,59.10
248,47,48,59.20
251,49,50,102.00
252,50,51,101.00
253,51,52,80.00
254,52,53,100.00
255,53,54,28.00
257,56,57,64.00
259,61,60,81.00
260,63,61,46.00
261,64,62,12.00
262,65,63,13.00
263,67,65,114.00
265,69,67,117.00
266,70,68,36.00
267,71,69,14.00
268,72,70,115.00
269,73,71,39.00
270,74,72,85.00
271,75,75,77.00
272,76,76,15.00
273,77,77,84.00
274,78,78,41.00
275,79,79,118.00
276,83,82,23.00
277,84,83,75.00
278,85,84,48.00
279,86,85,47.00
280,88,86,49.00
281,89,87,2.00
282,90,88,1.00
283,91,89,93.00
285,94,92,91.00
286,95,94,92.00
288,97,96,17.00
292,155,185,
293,156,186,
294,157,187,
296,104,193,20.00
297,105,194,103.00
298,106,195,87.00
299,107,196,51.00
300,109,197,44.00
302,172,199,78.00
303,113,200,94.00
304,150,201,50.00
305,114,202,88.00
306,115,203,10.10
307,115,203,10.20
308,115,203,10.30
315,118,204,3.00
316,119,206,25.00
317,82,207,21.00
322,123,209,31.00
323,149,210,38.00
324,125,211,16.00
325,129,212,52.00
326,130,213,112.00
327,131,214,18.00
328,132,215,42.00
329,133,216,37.00
330,134,217,73.00
331,135,218,72.00
332,136,219,40.00
334,138,221,27.00
335,139,222,35.00
336,140,223,29.00
337,141,224,19.00
338,54,225,58.00
339,92,226,57.00
341,145,228,8.00
342,146,229,4.00
343,147,230,6.00
344,148,231,11.24
346,154,245,26.00
347,158,293,30.00
348,159,294,43.00
349,162,419,45.00
350,161,420,61.00
351,160,421,54.00
352,164,462,56.00
353,171,470,71.00
355,166,477,69.00
357,170,481,74.00
358,173,485,79.00
362,727,492,96.00
363,728,488,97.00
365,755,502,10.40
368,761,520,119.00
369,763,526,121.00
370,778,586,122.00
371,779,576,123.00
372,780,584,124.00
373,781,559,125.00
375,825,609,126.00
376,826,608,127.00
377,831,681,104.00
379,834,738,128.00
380,837,769,5.00
381,839,786,67.00
384,843,789,129.00
385,844,703,24.00
386,845,794,68.00
387,846,805,130.00
