3,172.19.0.0,255.255.0.0,2,1,2
4,172.19.0.0,255.255.0.0,9,3,12
5,172.19.0.0,255.255.0.0,1,13,27
6,172.19.0.0,255.255.0.0,4,118,121
7,172.19.0.0,255.255.0.0,7,122,123
9,172.19.0.0,255.255.0.0,3,124,126
10,172.17.0.0,255.255.0.0,2,1,2
11,172.17.0.0,255.255.0.0,9,3,12
12,172.17.0.0,255.255.0.0,1,13,27
13,172.17.0.0,255.255.0.0,4,118,121
14,172.17.0.0,255.255.0.0,7,122,123
15,172.17.0.0,255.255.0.0,14,124,125
16,172.17.0.0,255.255.0.0,1,127,251
17,172.17.0.0,255.255.0.0,3,252,254
18,172.18.0.0,255.255.0.0,3,1,1
19,172.18.0.0,255.255.0.0,1,2,9
20,172.18.0.0,255.255.0.0,12,10,19
21,172.18.0.0,255.255.0.0,11,20,29
22,172.18.0.0,255.255.0.0,15,30,32
23,172.18.0.0,255.255.0.0,1,33,37
24,192.168.0.0,255.255.0.0,2,1,2
25,192.168.0.0,255.255.0.0,9,3,12
26,192.168.0.0,255.255.0.0,1,13,27
27,192.168.0.0,255.255.0.0,4,118,121
28,192.168.0.0,255.255.0.0,7,122,123
29,192.168.0.0,255.255.0.0,14,124,125
30,192.168.0.0,255.255.0.0,1,127,251
31,192.168.0.0,255.255.0.0,3,252,254
32,172.19.0.0,255.255.0.0,6,124,126
33,172.17.0.0,255.255.0.0,15,13,27
34,172.19.35.128,255.255.255.128,9,236,238
35,192.168.61.0,255.255.255.0,3,1,2
36,192.168.61.0,255.255.255.0,1,3,13
37,172.19.57.0,255.255.255.128,9,3,27
38,172.19.57.128,255.255.255.128,1,131,159
39,172.19.59.0,255.255.255.128,1,1,80
40,172.19.59.128,255.255.255.128,1,131,155
41,172.19.55.0,255.255.255.128,9,3,27
42,172.19.55.128,255.255.255.128,1,131,159
43,172.19.53.0,255.255.255.128,9,3,27
44,172.19.53.128,255.255.255.128,1,131,159
45,172.18.0.0,255.255.0.0,4,60,60
46,172.17.42.0,255.255.255.0,2,1,100
