1,172.17.0.0,255.255.0.0,Misc Tok/Ethernet
2,172.18.0.0,255.255.0.0,TSM LAN
3,172.19.0.0,255.255.0.0,Ethernet LAN
4,172.20.0.0,255.255.0.0,Reserved
5,192.168.0.0,255.255.128.0,Miscellaneous (PtoP)
6,198.223.64.224,255.255.255.252,CDPD PtoP
7,198.223.65.64,255.255.255.240,CDPD LAN
8,166.152.0.0,255.255.0.0,CDPD Network
9,172.16.0.0,255.255.0.0,Reserved
10,10.0.0.0,255.0.0.0,LIRR ATM Private
11,170.28.224.0,255.255.240.0,Internet
12,166.128.0.0,255.128.0.0,Verizon Wireless
13,66.174.159.108,255.255.255.252,1xRTT PtoP
14,170.28.201.0,255.255.255.0,Internet - VPN
15,239.192.0.0,255.252.0.0,Multicast
16,170.28.221.0,255.255.255.0,Internet
17,170.28.222.0,255.255.255.0,Internet
